Title,Ideology,Country,URL,TWHandle,TWSim,YTId,YTUser
Advocates for Self Government,Right-center,USA,https://www.theadvocates.org,theadvocates,1,UCs0LaNiTc6johW8EsvMvtRg,AdvocatesSelfGov
Adweek,Center,USA,https://www.adweek.com,adweek,1,UCKhCJRTHHLuW2iW7XQtcfyQ,adweekdotcom
Aeon,Left-center,NA,https://aeon.co,aeonmag,0.7272727273,UC88WrCBH7BJi1je9q5AMf4Q,aeonmagazine
Affinity Magazine,Left-center,USA,http://affinitymagazine.us,theaffinitymag,0.7333333333,,
Africa Check,Center,South Africa,https://africacheck.org,africacheck,1,UCPbmuog7tFl5E_4CW4ASG8w,
African Arguments,Left-center,NA,https://africanarguments.org,africaarguments,0.9677419355,,
Aftonbladet,Left,Sweden,https://www.aftonbladet.se,aftonbladet,1,UC7QxZdogxV1gloaOBO02wiw,
Against Crony Capitialism,Right-center,USA,https://www.ac2news.com,againstcronycap,0.2727272727,UCeiubpgeWb8NvCU4AekwtyA,AgainstCronyCapital
Agenzia Nazionale Stampa Associata (ANSA),Center,Italy,https://www.ansa.it,agenzia_ansa,0.5,UC7dCZ28JQUZYno7TSlLKNoQ,Ansa
Agerpres,Center,NA,https://www.agerpres.ro,agerpres,1,UCfnP_igK3BPLst-QTmIh0Wg,
Ahram Online,Right-center,Egypt,http://english.ahram.org.eg,ahramonline,0.625,UCpmb6WQxskw3dnoLqrXDUGQ,AhramOnline
Ahval News,Left-center,Cyprus,https://ahvalnews.com,ahval_en,0.7058823529,UCsUuqroh3TA3NJTKYEEjBtQ,
Air Force Times,Center,USA,https://www.airforcetimes.com,airforcetimes,1,UCY5Exop4r_bHmarcB_7jLMQ,militarytimesmedia
Airwars,Center,NA,https://airwars.org,airwars,1,UCoczcZukdKI50tNg5BDisKQ,
Akron Beacon Journal,Left-center,NA,https://www.beaconjournal.com,beaconjournal,1,UClaIZayJYZunD66ib5e32og,
Al Arabiya,Center,NA,https://english.alarabiya.net,alarabiya_eng,0.8181818182,UCIZJ9a6P_nxCFJTmL0gh_IQ,AlArabiyaEnglish
Al Bawaba,Center,United Arab Emirates,https://www.albawaba.com,albawabaenglish,0.6956521739,UCtUWbfogavM0lLL8e7KmM1g,
Al DIA,Left,USA,https://aldianews.com,aldianews,1,UCGrUeq1FtRamLqZgaCIgB3w,pontealdiatv
Al Hayat,Left-center,NA,http://www.alhayat.com,alhayat_ksa,0.7777777778,,
Al Jazeera,Left-center,Qatar,https://www.aljazeera.com,ajenglish,0.2222222222,UCNye-wNBqNL5ZzHSJj3l8Bg,AlJazeeraEnglish
Al Majalla,Center,NA,https://eng.majalla.com,the_majalla,0.7777777778,UCB3Ws4PMU2f1UT0x5prMG2w,majallaonline
Al Masdar News,Left-center,NA,https://www.almasdarnews.com,thearabsource,0.24,UCLMVO7aNUPVmpQue-igkqBQ,
Al Monitor,Left-center,USA,https://www.al-monitor.com,almonitor,0.9473684211,UC9oLvlUBxIKkd2nNLyjmmew,AlMonitor
Al Sura,Left-center,USA,https://al-sura.com,alsuraenglish,0.6,UCU-I1LTPY4J08e2nAorj4ww,
AL.com (Alabama News),Right-center,USA,https://www.al.com,aldotcom,0.4,UCAEp26oeWu9jMo5E7tNB2kQ,aldotcom
Alabama Political Reporter,Center,USA,https://www.alreporter.com,alreporter,1,UCsCo__V-uX9-yB0nhTni4Tg,aprthev
Alabama Today,Center,NA,https://altoday.com,alabamatoday,0.7368421053,UC0ZEfs4W2MBh_4Vzp8tDYdw,
Alan Guttmacher Institute,Left-center,USA,https://www.guttmacher.org,guttmacher,1,UCDAHJpWEjTenoWD9_mc8n9g,Guttmacher
Alaska Dispatch News,Left-center,NA,https://www.adn.com,adndotcom,0.5,UC4JVxN39Y1vCOp8tQ8EbUSg,AlaskaDispatch
Albany Democrat Herald,Center,USA,https://democratherald.com,dhnews,0.2,,
Albany Times Union,Left-center,NA,https://www.timesunion.com,timesunion,1,UCxTc23Z8IWwIO7nxv6cJAtw,TimesUnionMagazines
Alberta Views,Left-center,Canada,https://albertaviews.ca,albertaviewsmag,0.8888888889,,
Albuquerque Journal,Right-center,USA,https://www.abqjournal.com,abqjournal,1,UClfbSj-gmJ5J02lAbMYAFkQ,
Aleteia,Right-center,France,https://aleteia.org,aleteiaen,0.875,UCD806jIqEfOLZwgefSmHKqA,
AllAfrica,Center,South Africa,https://allafrica.com,allafrica,1,UCI49DMG8v3DvbYRQfQDAhSg,allafricaglobalmedia
AllGov,Left-center,USA,http://www.allgov.com,allgov,1,,
Alliance for Justice (AFJ),Left,USA,https://www.afj.org,afjustice,0.5,UC4chaUevLgCVSz-RcgqgoZQ,alliance4justice
Alliance for Securing Democracy,Center,NA,https://securingdemocracy.gmfus.org,securedemocracy,0.1,UCsqohhQRKZewaJmeQIOd7AQ,
Allied Progress,Left-center,NA,https://alliedprogress.org,alliedprogress,1,UCtkf6gMHXuLd9tYtzfhVzSA,
Alt News,Left,India,https://www.altnews.in,altnews,1,,
AlterNet,Left,USA,https://www.alternet.org,alternet,1,,
AltNewsMedia.net,Right,Italy,https://www.altnewsmedia.net,altnewsmedia,1,UCwmJ3JEBqoP0gyhAKSd3Jbw,
AM New York,Left-center,NA,https://www.amny.com,amnewyork,0.6153846154,UCIzxIaXiyw2TivJRiagHZ3Q,
AMAC (Association of Mature American Citizens),Right,USA,https://amac.us,matureamericans,0.3157894737,UC0rOC7oWR4FQelzGEEBOLmg,AMACforAmerica
Amarillo Globe News,Center,USA,https://www.amarillo.com,amarilloglobe,0.7619047619,UCvD8b5XSJugKWimDGVy4yMQ,AmarilloGlobeNews
America First Action SuperPAC,Right,USA,https://www.a1apac.org,americafirstpac,0.4761904762,UCAGtCgFHMcOD3Qxu6ybjoFA,
America Magazine,Left-center,USA,https://www.americamagazine.org,americamag,0.8,UCYC5hBwBcQ1WGJ0pFeMJBUQ,americamedia
AmericaBlog,Left,USA,http://americablog.com,americablog,1,UCUxR7wL7jl8Ik5ZpxYkO6kQ,goodboydc
American Action Forum,Right-center,USA,https://www.americanactionforum.org,aaf,0.2727272727,UCPnnL0B2tHFIsvR4Ub37nkw,AmericanActionForum
American Affairs Journal,Right-center,USA,https://americanaffairsjournal.org,americanaffrs,0.7428571429,,
American Bridge 21st Century,Left,USA,https://americanbridgepac.org,american_bridge,0.875,UCvubOhuUIhYoYnRyXHtcygQ,americanbridge21st
American Center for Law and Justice (ACLJ),Right,USA,https://aclj.org,aclj,1,UC0AvY8x1GqGIst1C4yygXWw,OfficialACLJ
American Civil Liberties Union (ACLU),Left-center,USA,https://www.aclu.org,aclu,1,UC7M42vQrNmZ0tnmmenLWwBA,acluvideos
American Council on Science and Health,Right-center,USA,https://www.acsh.org,acshorg,0.7272727273,UCPu_mODE4FGtKcACHH57kvg,ACSHonTV
American Enterprise Institute,Right,USA,https://www.aei.org,aei,1,UCt8lRYpzb-sSrKFb4DT2ECw,AEIVideos
American Foreign Policy Council (AFPC),Right,USA,https://www.afpc.org,afpc,1,UCo-aEGE4X7zJW-8i385PKBg,
American Greatness,Right,USA,https://amgreatness.com,theamgreatness,0.88,,
American Heritage Magazine,Center,USA,https://www.americanheritage.com,ameriheritage,0.8965517241,UCr1mKx5-3B3m9V47CkU3OGQ,
American Immigration Council,Left-center,USA,https://www.americanimmigrationcouncil.org,immcouncil,0.5555555556,UCqxV2UDMOvjHrUtyEvkrdYQ,ImmPolicyCenter
American Institute for Economic Research,Right-center,USA,https://www.aier.org,aier,1,UCetPXywjiWobIEU4gXOg-tQ,AIERvideo
American Legislative Exchange Council (ALEC),Right,NA,https://www.alec.org,alec_states,0.5333333333,UCqT2O_5CC-qJU2ZzYvNmwNw,AmericanLegislative
American Military News,Center,USA,https://americanmilitarynews.com,amermilnews,0.7096774194,UC2hl4acBta0JrsPRLpj2v_Q,
American News X,Left,USA,http://anx.media,americannewsx,0.375,,
American Oversight,Left,USA,https://www.americanoversight.org,weareoversight,0.7096774194,UCipcOR6j5MuCzZXXnhfIyjw,
American Press Institute (API),Center,USA,https://www.americanpressinstitute.org,ampress,0.4827586207,UCzfsL_vEv-2LpaL2B757Euw,AmericanPressInst
American Public Media,Left-center,USA,https://www.americanpublicmedia.org,apmresearch,0.3333333333,UCZPXnQFNAO0vFvh7bh0Cxfg,AmericanPublicMedia
American Spectator,Right,USA,https://spectator.org,amspectator,0.9,UCETvTnnDut4ioV97kJtzA4A,AmerSpectator
Americans for Limited Government,Right,USA,https://getliberty.org/,limitgovt,0.3157894737,UCtHQIheJUwH2dr0pG198z9Q,ALGNewsNetwork
Americans for Prosperity,Right,USA,https://americansforprosperity.org,afphq,0.2222222222,UC-JY5LuDM2wzN8cd5ubvRsg,
Americans United for Separation of Church and State,Left,NA,https://www.au.org,americansunited,0.2352941176,UCTioRIsPAFBF1KqkUEf0guA,audotorg
Americas Quarterly,Right-center,NA,https://www.americasquarterly.org,amerquarterly,0.8666666667,UC0w2YZBwuQyfav_0kCGsO5Q,americasquarterly
Ami Magazine,Right,USA,http://www.amimagazine.org,ami_magazine,0.9565217391,UCjEqFqDEzMlDN3SSh6ytXRA,amimagazine
Ammoland,Right,USA,https://www.ammoland.com,ammoland,1,UCoCGNTrAcKIe03x2SmQ9-rQ,AmmoLandTV
Amnesty International,Left-center,United Kingdom,https://www.amnesty.org,amnesty,1,UCREPamP892LJnJfJNWYKfPQ,AmnestyInternational
AmoMama,Center,Cyprus,https://news.amomama.com,amomama_usa,0.6086956522,UCfniFiZbyO0e_fLALQtKijA,
Anadolu Agency,Right,NA,https://www.aa.com.tr,anadoluajansi,0.2666666667,UCVbZYhcirOke2vipxs4lT2w,anadoluajansi
Anderson Independent Mail,Center,USA,https://www.independentmail.com,independentmail,1,UC1JaWxosL7LG7JoArkGoP_g,independentmailvids
Angry White Men,Left,USA,https://angrywhitemen.org,eyesontheright,0.2962962963,,
Angus Reid Institute,Right-center,Canada,http://angusreid.org,angusreidorg,0.8571428571,UCR4Ukr4326rP7DuRcqcDIKg,
Anniston Star,Left-center,USA,https://www.annistonstar.com,annistonstar,1,UCAizlZwsykWD0uOkciwG1QQ,AnnistonStar
Anthropocene Magazine,Left-center,USA,https://anthropocenemagazine.org,anthropocenemag,0.8571428571,UC-QY9bKrNYUzBZgaoedB1gA,
Anti Defamation League (ADL),Left-center,USA,https://www.adl.org,adl,1,UCfVotMGyD7sVMomr2AzsBtQ,ADLNational
Anti Fascist News,Left,USA,https://antifascistnews.net,antifa_news1,0.7407407407,,
Anti War,Right-center,USA,https://www.antiwar.com,antiwarcom,0.8235294118,UC0-KJv5GsEeUcntoj4UoaqQ,Antiwarcom1
AOL,Left-center,NA,https://www.aol.com,aol,1,UCjI99XUrHepEDxBfNA_ckEA,aol
APM Reports,Left-center,USA,https://www.apmreports.org,apmreports,1,,
APTN News,Center,NA,https://www.aptnnews.ca,aptnnews,1,UCA-IcIBtmwCirNr1f-n_SRA,
Arab News,Right-center,NA,https://www.arabnews.com,arabnews,1,UCI8DegIWgK51cGakXcf1dOQ,
Arc Digital,Center,USA,https://arcdigital.media,arcdigi,0.8235294118,UCgAnid_hFZ47lDS3tng6ZTw,
ArcaMax,Right-center,USA,https://www.arcamax.com,arcamax,1,,
Areo Magazine,Left-center,United Kingdom,https://areomagazine.com,areomagazine,1,UC4XofYfI9oXubo5HZfbyF9w,
Argus Leader,Right-center,USA,https://www.argusleader.com,argusleader,1,UCnd4U4dCZC7odQiytVBk43w,
Arizona Capitol Times,Center,USA,https://azcapitoltimes.com,azcapitoltimes,1,,
Arizona Daily Independent,Right,USA,https://arizonadailyindependent.com,amerdailyindy,0.5555555556,,
Arizona Daily Star,Left-center,USA,https://tucson.com,tucsonstar,0.75,UCeYHpGha-z3ahTum2tpvf-g,azdailystarvideo
Arizona Daily Sun,Left-center,USA,https://azdailysun.com,azds,0.5714285714,UCn6vAsc6IoU49ifYSc6GZvQ,azdailysun
Arkansas Democrat Gazette,Right-center,USA,https://www.arkansasonline.com,arkansasonline,1,UCbyEnE6SRWUld03ZxhYjZvQ,arkansasonline
Arkansas Times,Left-center,NA,https://arktimes.com,arktimes,1,UCeLoup1A6odH6fp_4pj1sCQ,ArkansasTimes
Arms Control Association,Left-center,USA,https://www.armscontrol.org,armscontrolnow,0.88,UCo8uh58ZpJ7yqhb9peGXE8Q,
Armstrong Economics,Right,USA,https://www.armstrongeconomics.com,strongeconomics,0.9090909091,UCaoSDiNkFmGQfvhvZMWxOHw,
Army Times,Center,USA,https://www.armytimes.com,armytimes,1,UCY5Exop4r_bHmarcB_7jLMQ,militarytimesmedia
Ars Technica,Center,USA,https://arstechnica.com,arstechnica,1,UCCDU1fsmgvWljcW2aodfJsA,arstechnicavideos
Arutz Sheva (Israel National News),Right-center,NA,http://www.israelnationalnews.com,arutzsheva_en,0.2580645161,UC7DjcEEX7zUSvS3IWWX_nmw,IsraelNationalTV
Asharq Al Awsat,Right-center,United Kingdom,https://aawsat.com,aawsat_news,0.7058823529,UCIMti8J7qYjICcr_a39-ocg,aawsatv
Asheboro Courier Tribune,Center,USA,https://www.courier-tribune.com,courier_tribune,0.9333333333,UCYLycjM5ngsUFZFsvE9T71g,
Asheville Citizen Times,Left-center,NA,https://www.citizen-times.com,asheville,0.1818181818,UC-haXOxWKiH9iF1rIM5iDtw,CITIZENTIMES
Asia Sentinel,Left-center,USA,https://www.asiasentinel.com,asiasentinel,1,,
Asia Times,Center,Hong King,https://asiatimes.com,asiatimesonline,0.75,UCVsPa33ZsRPPqXPxpiK54vw,
Asian News International (ANI),Right-center,India,https://www.aninews.in,ani,0.6,UCtFQDgA8J8_iiwc5-KoAQlg,
AsianNews.it,Right,Italy,http://www.asianews.it,asianewsit,0.8888888889,UC5zE9XD-4ynFhugu1-Dflnw,
Associated Press,Center,USA,https://apnews.com,ap,0.5,UC52X5wxOL_s5yw0dQk7NtgA,AssociatedPress
Assyrian International News Agency,Right,NA,http://www.aina.org,ainanews,0.6666666667,,
Atavist Magazine,Left-center,USA,https://magazine.atavist.com,atavist,1,,
Atlanta Black Star,Left-center,NA,https://atlantablackstar.com,atlblackstar,0.8571428571,UC1hxUKIonH_8N7Xqj65IEsg,
Atlanta Journal Constitution,Left-center,USA,https://www.ajc.com,ajc,1,UCX8Mxrilgd_scmtQUo77CUA,ajcvideo
Atlantic Council,Right-center,USA,https://www.atlanticcouncil.org,atlanticcouncil,1,UCw0y9zO1RXI6uEzoKbbnxTQ,AtlanticCouncil
Atlantic Media,Left-center,NA,https://www.atlanticmedia.com,atlanticmedia,1,,
Atlas Obscura,Center,USA,https://www.atlasobscura.com,atlasobscura,1,UCKnEAhIjPrJs1iTIhonzHwQ,atlasobscura
ATTN:,Left-center,NA,https://www.attn.com,attn,1,UCX1QptigcsbBubVqtB1JK7g,AttnMedia
Austin American Statesman,Left-center,NA,https://www.statesman.com,statesman,1,UCf0aMG-_d_ol_7BEllE3kRw,AmericanStatesman
Austin Daily Herald (Minnesota),Left-center,USA,https://www.austindailyherald.com,austinherald,0.8275862069,UCJ5HAg94Wy4OhzpxBGhlVzA,ADHVideo
AutoStraddle,Left,NA,https://www.autostraddle.com,autostraddle,1,UCsNaPhvvGdDyikAvwCV9D4A,marielyn176
AV Club,Left-center,USA,https://www.avclub.com,theavclub,0.8,UCsDdQUPa4NvPvf2f00E5zfw,theavclub
Axiom News Network,Right,USA,http://axiomnewsnetwork.com,newsaxiom,0.4,UCe5NDnDSVOoIEYi9GN60uzA,
Axios,Left-center,USA,https://www.axios.com,axios,1,UCfU4-ArXuSX0tpyApyklMAg,
AZ Central,Left-center,USA,https://www.azcentral.com,azcentral,1,UCjIxD2JsiU6RmvOXaLNthHg,
azfamily.com,Center,USA,https://www.azfamily.com,azfamily,1,UCIrgpHvUm1FMtv-C1xwkJtw,AZFAMILYCOM
B.T. Denmark,Right-center,Denmark,https://www.bt.dk,btdk,0.6666666667,,
Badger Institute,Right,USA,https://www.badgerinstitute.org,badgerinstitute,1,UCa8XNo46nAN-A93ErJjLhHA,
Balkan Insight,Left-center,United Kingdom,https://balkaninsight.com,balkaninsight,1,UCd33KZF7ikDr7dICyNt7LVA,BirnTV
Ballotpedia,Center,USA,https://ballotpedia.org,ballotpedia,1,UC71Fe_0mTWNZaARqJ-uqzCA,Ballotpedia
Baltimore Sun,Left-center,USA,https://www.baltimoresun.com,baltimoresun,1,UCi3XG3QjiaTUpIrzDMZEpjQ,baltimoresun
Bangor Daily News,Left-center,USA,https://bangordailynews.com,bangordailynews,1,UCdI1qc1goct0ETIuuVXcFoA,thebangordailynews
Baptist News Global,Left-center,NA,https://baptistnews.com,baptist_news,0.9565217391,UCLCH8ih5AkKTS0VKDUIvK8g,
Barron’s,Right-center,USA,https://www.barrons.com,barronsonline,0.7,,
Battle Creek Enquirer,Left-center,USA,https://www.battlecreekenquirer.com,bcenquirer,0.6896551724,,
Bay Area Reporter,Left,NA,https://www.ebar.com,ebarnews,0.6666666667,,
Bbarta24,Center,NA,http://en.bbarta24.net,bbarta24info,0.8,,
BBC,Left-center,United Kingdom,https://www.bbc.com,bbcworld,0.5454545455,UC16niRr50-MSBwiO3YDb3RA,bbcnews
Bearing Arms,Right,USA,https://bearingarms.com,bearingarmscom,0.88,UCnMIPuOvKQDLZDk0a7KS13w,
Beijing Review,Left-center,NA,http://www.bjreview.com,beijingreview,0.7619047619,UCbPmn9xCFVYct7ghFQcr0DA,BeijingReviewMag
Being Libertarian,Right-center,USA,https://beinglibertarian.com,beinlibertarian,0.9677419355,UChNCtunNxRHny_nr1LFRASA,
Beliefnet,Right,NA,https://www.beliefnet.com,beliefnet,1,UC-8gxjI83Mk7-zhmsKQyk2Q,BeliefnetOriginals
Belleville News Democrat,Center,USA,https://www.bnd.com,bellevillenewsd,0.3333333333,UCAJjqXbGLRavOcDSYTi0vIQ,BNDVideo
Bellingcat,Center,NA,https://www.bellingcat.com,bellingcat,1,UCFl-GzKYeCW3iWjnQDuxzAA,
Bellingham Herald,Left-center,USA,https://www.bellinghamherald.com,bhamherald,0.7692307692,UCdvNyVMVK2rOqXk3drYgkag,bellinghamherald
Berkeleyside,Left-center,USA,https://www.berkeleyside.com,berkeleyside,1,UCEGPkF2XdEMbj-JRyoWk3Mg,Berkeleyside
Berkshire Eagle,Left-center,USA,https://www.berkshireeagle.com,berkshireeagle,1,UCvL92VdN1kAeX_769U407Nw,BerkshireEagle
Berlingske,Right-center,Denmark,https://www.berlingske.dk,berlingske,1,,
Better Government Association,Center,USA,https://www.bettergov.org,bettergov,1,UC5O_4r7qIR0wJqDWGwArwrQ,BGAIllinois
Big News Network,Center,United Arab Emirates,https://www.bignewsnetwork.com,bignewsnetwork,1,,
Big Think,Center,USA,https://bigthink.com,bigthink,1,UCvQECJukTDE2i6aCoMnS-Vg,bigthink
Bild,Right-center,Germany,https://www.bild.de,bild,1,UC4zcMHyrT_xyWlgy5WGpFFQ,
Billings Gazette,Right-center,USA,https://billingsgazette.com,billingsgazette,1,UCoumKpcPlYB3z1C4h1MlzQg,BillingsGazette
BillMoyers.com,Left-center,NA,https://billmoyers.com,billmoyers,1,UCmL2pyZOCTQl0-ntGBWDZIQ,MoyersandCompany
Biloxi Sun Herald,Center,USA,https://www.sunherald.com,sunherald,1,UCdDd6LgfG_boD2rlOvp0qjg,SunHeraldcom
Bipartisan Policy Center,Right-center,USA,https://bipartisanpolicy.org,bpc_bipartisan,0.6666666667,UCr1L-KDu5MZMPpmV-gr48fQ,BipartisanPolicy
Birmingham Mail,Left-center,United Kingdom,https://www.birminghammail.co.uk,birmingham_live,0.7586206897,,
Bismarck Tribune,Center,USA,https://bismarcktribune.com,bistrib,0.6363636364,UCnePasizvSwS4wL806z1HPQ,BismarckTribune
Bitch Media,Left,NA,https://www.bitchmedia.org,bitchmedia,1,,
Bizpac Review,Right,USA,https://www.bizpacreview.com,bizpacreview,1,UCka_CL7uJJthyJt3ovloWWA,BizPacReviewPolitics
BlabberBuzz,Right,USA,https://www.blabber.buzz,blabberdotbuzz,0.6666666667,UCgSf_U5q8ConxR47NqTQMKA,
Black Agenda Report,Left,NA,https://blackagendareport.com,blkagendareport,0.9375,UCOxLhz6B_elvLflntSEfnzA,
Black Lives Matter,Left,USA,https://blacklivesmatter.com,blklivesmatter,0.9333333333,,
Blasting News,Center,United States,https://www.blastingnews.com/,blastingnews,1,UCgY8c0IVjc3PjQJlY-VynKQ,blastingnews
Bleeping Computer,Center,USA,https://www.bleepingcomputer.com,bleepincomputer,0.9677419355,UCTU0ZJQ8Lqslww0R9Xk0sJg,BleepingComputer
Bloomberg News,Left-center,USA,https://www.bloomberg.com,business,0.2352941176,UCIALMKvObZNtJ6AmdCLP7Lg,
Bluestem Prairie,Left-center,NA,https://www.bluestemprairie.com,bspinmn,0.2727272727,UCz_JQ884ulyNUdNVmbOuPJQ,Bluestemprairie
BNO News,Center,NA,https://bnonews.com,bnonews,1,UCOwAf0r6kIOj8783xDye2pQ,bnonews
Boing Boing,Left,USA,https://boingboing.net,boingboing,1,UCkhTsO516zCnrxRa6iy9j-w,boingboingvideo
Boston Herald,Right-center,USA,https://www.bostonherald.com,bostonherald,1,UCqihn-jTsq9s4HsLEyJQM3A,bostonherald
Boston Review,Left,USA,http://bostonreview.net,bostonreview,1,UCEOtO8PPWXpCQmX1QpTx3EQ,bostonreview
Boston.com,Left-center,USA,https://www.boston.com,bostondotcom,0.6666666667,UC8IkdxFyPXgw11n4Ew0osHQ,
Bounding Into Comics,Right,USA,https://boundingintocomics.com,boundingcomics,0.875,UCvhRblHiU1XYF1OZITtfUiA,
Boy Genius Report (BGR),Left-center,NA,https://bgr.com,bgr,1,UCMZ4_BH8o3tCFKTR_Ta1TiA,boygeniusreport
Bozeman Daily Chronicle,Center,USA,https://www.bozemandailychronicle.com,bozchron,0.5517241379,UCwsoO3uFkgb5RTmMsxmOvDw,bozchron
Brampton Guardian,Left-center,Canada,https://www.bramptonguardian.com,bmptguardian,0.8571428571,,
Breaking Defense,Right-center,NA,https://breakingdefense.com,breakingdefense,1,UCVSKAAIMVle0gZswkfys5jw,
Breakthrough Institute,Right-center,NA,https://thebreakthrough.org,thebti,0.4761904762,UC_5PggHZeMb7rwTJsS76uwA,
Brennan Center for Justice,Left-center,USA,https://www.brennancenter.org,brennancenter,1,UCcNkGwVX4_F1rcgItwCk1zQ,TheBrennanCenter
BrexitCentral,Right,NA,https://brexitcentral.com,brexitcentral,1,UCl6dwDYMqMjnHQ-hmJoWp8A,
Bridge Magazine,Center,NA,https://www.bridgemi.com,bridgemichigan,0.7272727273,,
Bring Me The News,Center,USA,https://bringmethenews.com,bringmethenews,1,UC8shf8HKpyoa-MebNkx_Euw,
Brookings Institution,Left-center,USA,https://www.brookings.edu,brookingsinst,0.8181818182,UCi7jxgIOxcRaF4Q54U7lF3g,BrookingsInstitution
Buenos Aires Times,Right-center,Argentina,https://www.batimes.com.ar,thebatimes,0.8235294118,UCfcF62U6nB9I8rVJ13VnHXQ,
Buffalo News,Left-center,USA,https://buffalonews.com,thebuffalonews,0.88,UCBd4z-pRWOCWjhUn1NK-sdA,BuffaloNewsVideo
Bulletin of the Atomic Scientists,Center,NA,https://thebulletin.org,bulletinatomic,0.64,UCaeUKy8bDzOu2DH5c006NbQ,BulletinAtomic
Bullshido,Center,USA,https://www.bullshido.net,bullshido,1,UCiSkNsw3bNy4giTaryDi7DA,BullshidoPhrost
Business 2 Community,Center,NA,https://www.business2community.com,b2community,0.7586206897,UCXar0zDq7oxsXVI2QlS4tUQ,Business2Community
Business Insider,Left-center,USA,https://www.businessinsider.com,businessinsider,1,UCcyq283he07B7_KUX07mmtA,businessinsider
BusinessLIVE,Right-center,South Africa,https://www.businesslive.co.za,businesslivesa,0.9230769231,UCrS1z1uOvw0pXlFvTyU2kwA,BusinessDayLive
Bust Magazine,Left,USA,https://bust.com,bust_magazine,0.4705882353,,
Bustle Magazine,Left-center,USA,https://www.bustle.com,bustle,1,UCqLj_VGACwmDa0FZ4UV3j-w,EliteDaily
BuzzFeed News,Left-center,USA,https://www.buzzfeednews.com,buzzfeednews,1,UCf4FYTsGFFcdc68AUPIU3RA,BuzzFeed
C SPAN,Center,USA,https://www.c-span.org,cspan,0.9090909091,UCb--64Gl51jIEVE-GLDAVTg,CSPAN
Cable Public Affairs Channel (CPAC),Center,NA,https://www.cpac.ca,cpac_tv,0.7272727273,UCFZSV_So_OaXgXVzgu58tJQ,cpac
Calgary Herald,Right-center,Canada,https://calgaryherald.com,calgaryherald,1,UCrbOGpnOudmETQ0WZkyvD8g,CalgaryHeralddotcom
Calgary Sun,Right,Canada,https://calgarysun.com,calgarysun,1,UCy1iIf8Nd9E0Fs9L7A6Y3Jg,
California Globe,Right-center,USA,https://californiaglobe.com,californiaglobe,1,,
California Political Review,Right-center,NA,http://www.capoliticalreview.com,capoliticalrev,0.9032258065,,
CalWatchdog,Left-center,NA,https://calwatchdog.com,calwatchdog,1,UCmo5Kkt0WQsnSQ7PFS3X0HA,calwatchdog1
Campaign for Liberty,Right-center,NA,http://campaignforliberty.org,c4liberty,0.5925925926,UCzvj8nE-A1EtDgiMq4ETEiw,campaignforliberty
